lambda_param,alpha,delta,epsilon,decay,xmin,ks,R_ln,p_ln,R_exp,p_exp,num_avalanches,num_seeds
10,2.1351699593846307,0.7,0.01,0.95,0.010000000000000009,0.2441769480293544,-496.6041562358392,1.7117241008654333e-61,-583.7449174834215,4.04225019449879e-113,3507,3
10,1.7513859949703339,0.7,0.03,0.8,0.010000000000000009,0.2790807111264917,-1542.747023643523,4.6277976044532947e-209,-1554.0768221737774,0.0,4337,3
10,1.9762722818544138,0.7,0.03,0.9,0.010000000000000009,0.2563840619661197,-792.7492473957743,1.3785730237095666e-98,-884.2379239570402,3.1302688256090256e-214,3867,3
10,2.1759661304413926,0.7,0.03,0.95,0.010000000000000009,0.23691475402845547,-433.3350903059152,1.054165046235583e-52,-526.7912376519323,3.403422691427592e-93,3454,3
10,1.751097947489095,0.7,0.05,0.8,0.010000000000000009,0.2823717651945843,-1533.7945053266787,2.9718895311774964e-211,-1542.8138810782746,0.0,4327,3
10,1.9816837688310582,0.7,0.05,0.9,0.010000000000000009,0.2578623201273348,-822.2254855834358,1.6757273134877703e-104,-896.3009694172591,2.8166954334363505e-230,3877,3
10,2.1196764896178157,0.7,0.05,0.95,0.010000000000000009,0.24437409763219897,-548.4028512792161,1.3139576206969528e-68,-628.644458909792,2.313084299772927e-133,3544,3
10,1.7659192385989515,0.9,0.01,0.8,0.010000000000000009,0.2776856696600666,-1509.7177425174373,6.188651849010704e-200,-1537.75347018553,0.0,4417,3
10,1.9784991524316464,0.9,0.01,0.9,0.010000000000000009,0.25014563168582105,-782.0312165366877,1.91160895954748e-99,-872.9141492223076,2.251317667401572e-205,3920,3
10,2.1261118055086907,0.9,0.01,0.95,0.010000000000000009,0.2463253936817011,-536.5235010185845,3.10232730982079e-67,-617.4411456623492,5.228160619938687e-131,3509,3
10,1.7476140686839068,0.9,0.03,0.8,0.010000000000000009,0.2813795378585062,-1554.4283525285134,1.0745651231598764e-207,-1575.534995481587,0.0,4386,3
10,1.940812704881354,0.9,0.03,0.9,0.010000000000000009,0.2638577837144338,-896.4814928035239,5.345264450568651e-113,-965.4359266729708,1.1429842065052246e-255,3894,3
10,2.099885233449207,0.9,0.03,0.95,0.010000000000000009,0.24937460219691404,-567.0729936697354,2.3079130563264082e-69,-652.6438154134573,1.3222145582431066e-137,3566,3
10,1.780489264394216,0.9,0.05,0.8,0.010000000000000009,0.2763961790738881,-1384.2704139291711,1.417471019753032e-175,-1435.3479843567623,0.0,4303,3
10,2.008606784408527,0.9,0.05,0.9,0.010000000000000009,0.2534894681600742,-752.1116640756006,1.172662517567399e-95,-837.582175036976,2.591884070051908e-201,3880,3
10,2.150693318523147,0.9,0.05,0.95,0.010000000000000009,0.23511871259398065,-444.8375062197178,3.3546098041066985e-55,-538.0439798859326,7.052694555085493e-93,3517,3
10,1.7664129158287993,0.5,0.01,0.8,0.010000000000000009,0.27239973434179066,-1428.7686087325155,1.1112625773793684e-183,-1480.5221698492924,0.0,4282,3
10,2.065725378222343,0.5,0.01,0.9,0.010000000000000009,0.25168582425417035,-652.2009194943241,1.9516309489141318e-83,-723.756943046578,5.244950900019721e-172,3644,3
10,2.3849445187677722,0.5,0.01,0.95,0.010000000000000009,0.23374420423012737,-280.5779665185384,1.9954382375531205e-34,-355.4940157172539,1.9936711066461237e-52,3292,3
10,1.7809049813317532,0.5,0.03,0.8,0.010000000000000009,0.2704540464847953,-1254.2334823436877,2.3839456685292625e-156,-1344.2560508083634,0.0,4156,3
10,2.092601323441821,0.5,0.03,0.9,0.010000000000000009,0.24173627279498333,-542.7336148006142,1.8757051576147628e-67,-634.0352572015205,1.635349052393227e-125,3577,3
10,2.3935938893147064,0.5,0.03,0.95,0.010000000000000009,0.22882877552152336,-241.1750556623227,1.119007085316105e-30,-313.82903255236835,3.6893787736894975e-40,3308,3
10,1.8319913149763432,0.5,0.05,0.8,0.010000000000000009,0.2553970877328489,-1105.4734329502016,1.0241681341313389e-142,-1203.1034180168385,0.0,4147,3
10,2.1362903018535135,0.5,0.05,0.9,0.010000000000000009,0.2422710181758186,-519.9100419363159,4.209554603752976e-65,-603.6962422581973,4.183845388703304e-122,3570,3
10,2.3889308505504667,0.5,0.05,0.95,0.010000000000000009,0.22741730165631205,-246.84390944837398,1.130005663168082e-30,-322.0349721648224,8.82912253160787e-42,3273,3
