delta,alpha,lambda_param,Recycle_Rate,Run
0.328515625,0.117578125,4.942578125,0.98,69
0.328515625,0.5183593750000001,3.6792968750000004,0.98,70
0.328515625,0.5183593750000001,4.942578125,0.97,71
0.729296875,0.567578125,1.2292968750000002,0.97,72
0.778515625,0.567578125,1.2292968750000002,0.95,73
0.729296875,0.968359375,1.2292968750000002,0.93,74
0.729296875,0.567578125,2.492578125,0.93,75
0.729296875,0.968359375,2.492578125,0.93,76
0.778515625,0.567578125,2.492578125,0.98,77
0.778515625,0.968359375,1.2292968750000002,0.93,78
0.778515625,0.968359375,2.492578125,0.93,79
0.954296875,0.342578125,4.904296875,0.86,80
0.103515625,0.342578125,4.904296875,0.86,81
0.954296875,0.743359375,4.904296875,0.99,82
0.954296875,0.342578125,1.2675781250000002,0.89,83
0.954296875,0.743359375,1.2675781250000002,0.98,84
0.103515625,0.342578125,1.2675781250000002,0.89,85
0.103515625,0.743359375,4.904296875,0.98,86
0.103515625,0.743359375,1.2675781250000002,0.98,87
0.504296875,0.792578125,2.4542968750000003,0.98,88
0.5535156250000001,0.792578125,2.4542968750000003,0.98,89
0.504296875,0.293359375,2.4542968750000003,0.98,90
0.504296875,0.792578125,3.717578125,0.99,91
0.504296875,0.293359375,3.717578125,0.89,92
0.5535156250000001,0.792578125,3.717578125,0.98,93
0.5535156250000001,0.293359375,2.4542968750000003,0.99,94
0.5535156250000001,0.293359375,3.717578125,0.86,95
0.39179687500000004,0.455078125,0.616796875,0.98,96
0.666015625,0.455078125,0.616796875,0.86,97
0.39179687500000004,0.180859375,0.616796875,0.86,98
0.39179687500000004,0.455078125,4.330078125,0.98,99
0.39179687500000004,0.180859375,4.330078125,0.98,100
0.666015625,0.455078125,4.330078125,0.89,101
0.666015625,0.180859375,0.616796875,0.98,102
0.666015625,0.180859375,4.330078125,0.86,103
0.841796875,0.905078125,3.066796875,0.86,104
0.216015625,0.905078125,3.066796875,0.86,105
0.841796875,0.630859375,3.066796875,0.98,106
0.841796875,0.905078125,1.8800781250000003,0.98,107
0.841796875,0.630859375,1.8800781250000003,0.86,108
0.216015625,0.905078125,1.8800781250000003,0.86,109
0.216015625,0.630859375,3.066796875,0.86,110
0.216015625,0.630859375,1.8800781250000003,0.86,111
0.616796875,0.23007812500000002,1.8417968750000002,0.99,112
0.891015625,0.23007812500000002,1.8417968750000002,0.89,113
0.616796875,0.855859375,1.8417968750000002,0.86,114
0.616796875,0.23007812500000002,0.6550781250000001,0.86,115
0.616796875,0.855859375,0.6550781250000001,0.89,116
0.891015625,0.23007812500000002,0.6550781250000001,0.89,117
0.891015625,0.855859375,1.8417968750000002,0.89,118
